period,region,cor,first,repeat,not_stated
2013,TOTAL,TOTAL,28,61,11
2013,SOUTHEAST ASIA,INDONESIA,13,78,9
2013,SOUTHEAST ASIA,MALAYSIA,5,85,10
2013,SOUTHEAST ASIA,PHILIPPINES,35,54,11
2013,SOUTHEAST ASIA,THAILAND,18,74,8
2013,SOUTHEAST ASIA,VIETNAM,30,58,11
2013,NORTH ASIA,CHINA,39,54,7
2013,NORTH ASIA,TAIWAN,31,59,11
2013,NORTH ASIA,HONG KONG,17,69,14
2013,NORTH ASIA,JAPAN,39,51,9
2013,NORTH ASIA,SOUTH KOREA,29,36,35
2013,SOUTH ASIA,INDIA,39,50,10
2013,EUROPE,FRANCE,44,49,7
2013,EUROPE,GERMANY,49,47,4
2013,EUROPE,ITALY,46,37,16
2013,EUROPE,NETHERLANDS,35,52,13
2013,EUROPE,SWITZERLAND,32,48,20
2013,EUROPE,UK,34,60,6
2013,AMERICAS,CANADA,45,44,11
2013,AMERICAS,USA,44,50,6
2013,OCEANIA,AUSTRALIA,25,63,12
2013,OCEANIA,NEW ZEALAND,23,63,14
2013,AFRICA,SOUTH AFRICA,27,48,25
2014,TOTAL,TOTAL,28,58,14
2014,SOUTHEAST ASIA,INDONESIA,11,80,9
2014,SOUTHEAST ASIA,MALAYSIA,6,84,10
2014,SOUTHEAST ASIA,PHILIPPINES,28,61,11
2014,SOUTHEAST ASIA,THAILAND,23,72,6
2014,SOUTHEAST ASIA,VIETNAM,33,56,11
2014,NORTH ASIA,CHINA,45,46,9
2014,NORTH ASIA,TAIWAN,31,59,10
2014,NORTH ASIA,HONG KONG,19,66,14
2014,NORTH ASIA,JAPAN,43,48,8
2014,NORTH ASIA,SOUTH KOREA,42,40,19
2014,SOUTH ASIA,INDIA,43,46,11
2014,EUROPE,FRANCE,47,41,12
2014,EUROPE,GERMANY,52,45,4
2014,EUROPE,ITALY,40,40,19
2014,EUROPE,NETHERLANDS,37,49,15
2014,EUROPE,SWITZERLAND,42,37,21
2014,EUROPE,UK,36,58,6
2014,AMERICAS,CANADA,42,44,14
2014,AMERICAS,USA,43,52,5
2014,OCEANIA,AUSTRALIA,30,60,10
2014,OCEANIA,NEW ZEALAND,23,66,11
2014,AFRICA,SOUTH AFRICA,36,31,32
